policyPenalty,scenarioID,scenarioName,GroupCount,mean_finalFitness,std_finalFitness,median_finalFitness,min_finalFitness,max_finalFitness,mean_finalRisk,std_finalRisk,median_finalRisk,min_finalRisk,max_finalRisk,mean_finalTrade,std_finalTrade,median_finalTrade,min_finalTrade,max_finalTrade,mean_finalRecoveringLinks,std_finalRecoveringLinks,median_finalRecoveringLinks,min_finalRecoveringLinks,max_finalRecoveringLinks,mean_totalSwitches,std_totalSwitches,median_totalSwitches,min_totalSwitches,max_totalSwitches,mean_localSwitches,std_localSwitches,median_localSwitches,min_localSwitches,max_localSwitches,mean_globalSwitches,std_globalSwitches,median_globalSwitches,min_globalSwitches,max_globalSwitches
0.25,baseline,Baseline,100,123.762101855188,1.63670363323909,123.760515413527,120.88222279939,127.705157333736,364.989254439264,19.4666265601244,367.316880768442,315.655058958907,413.496681892735,2492.10781030597,77.7576414199689,2495.09051238254,2294.32508591037,2682.01457983065,105.05,13.2652618412594,104,67,133,2128.63,260.084549384009,2122.5,1341,2742,541.42,85.3486231567181,548,365,727,1587.21,262.707706953811,1580.5,845,2188
0.25,coordinated,Coordinated,100,111.462635782924,2.16977362775563,111.272871709077,106.492615356211,117.548278999182,338.83040537607,19.2208269869869,340.497475457381,297.561053801296,391.355055058065,2313.59343324441,76.8804565898279,2312.5535981591,2151.59684237699,2509.72780703513,134.99,16.9768083043315,133,95,185,2465.83,269.175848609691,2470.5,1788,3190,783.25,97.2041873604427,770.5,564,1025,1682.58,252.558111324819,1678,1041,2438
0.25,delayed_coordination,Delayed Coordination,100,111.519731097704,2.34985246959764,111.710157664252,106.157418928925,120.270692719886,337.181264677819,19.0797912940791,336.546945760775,294.131009414134,393.5573327061,2303.88534568809,80.1654608665394,2297.4224383864,2129.71479433906,2475.00968972044,136.37,19.2871208401625,135,85,188,2458.5,273.111643283419,2469,1832,3106,796.35,102.154208543908,790.5,597,1092,1662.15,250.757977203743,1676.5,1077,2326
0.25,early_mover,Early Mover,100,112.555186443336,2.1524290907954,112.471484786707,107.579299103512,120.571927093548,342.615334733625,19.4400487024258,342.433826965308,298.4210687009,395.844682659976,2340.31935451725,82.6408741122186,2332.16630791228,2178.07821941252,2530.09324955175,131.12,17.6814003741762,133,92,167,2415.52,264.778523038834,2428,1789,2972,791.79,106.369500356355,786,569,1072,1623.73,243.553941300962,1639,1020,2233
0.25,sequential,Sequential,100,111.557674062669,2.49180972939961,111.194654094824,106.485641936954,119.905199834518,336.888879459401,19.4572902997289,335.543350044964,295.220517871285,392.195145749753,2304.30776896032,82.6983361943821,2309.12140214301,2111.43773141833,2492.04879436482,137.54,20.5693800086292,137.5,79,188,2441.98,281.531238017734,2433,1852,3044,796.78,105.395894348189,787.5,589,1082,1645.2,254.313415161908,1636.5,1081,2287
0.5,baseline,Baseline,100,123.762101855188,1.63670363323909,123.760515413527,120.88222279939,127.705157333736,364.989254439264,19.4666265601244,367.316880768442,315.655058958907,413.496681892735,2492.10781030597,77.7576414199689,2495.09051238254,2294.32508591037,2682.01457983065,105.05,13.2652618412594,104,67,133,2128.63,260.084549384009,2122.5,1341,2742,541.42,85.3486231567181,548,365,727,1587.21,262.707706953811,1580.5,845,2188
0.5,coordinated,Coordinated,100,117.353848650632,4.23617638441114,117.039195161427,106.757970279647,131.569368736889,256.681801943831,20.730145102862,254.317016264646,216.085908535556,317.351337305861,1742.81954177567,95.1464752752303,1738.91500686564,1534.069564103,1999.83402191748,248.63,26.9873352264773,252,167,304,4124.83,349.600726226045,4138,3073,4778,1146.43,96.6306364409854,1150.5,911,1398,2978.4,309.07947394177,2987.5,2081,3576
0.5,delayed_coordination,Delayed Coordination,100,119.155169338198,4.25049357166528,118.872758376779,107.198395392882,129.626825581916,249.421941019763,19.5413227496411,248.558386854317,206.100551406701,307.758264391766,1697.58437913567,99.9500530141091,1687.47211872377,1476.62069725131,1980.6193548954,254.89,26.3863658549317,261,180,304,4199.34,368.622421039374,4238.5,3159,4998,1148.51,93.34691405524,1142,909,1396,3050.83,334.497181972397,3084,2101,3743
0.5,early_mover,Early Mover,100,121.009284032315,3.71880739750282,120.859779300505,110.298864920898,129.640703242244,258.918839463421,20.5355016454139,257.54934962766,207.231497125994,316.082448204883,1758.13342859268,93.7359925544342,1751.27305899121,1573.44981533527,2044.59502613979,248.29,22.2316977273078,253,194,285,4166.05,351.424730076144,4215,3185,4863,1109.46,88.1630055950655,1105.5,874,1343,3056.59,335.821714815189,3083,2193,3752
0.5,sequential,Sequential,100,118.897221028558,4.19753303898076,119.416045086012,107.163134035311,128.955740538696,250.364963968239,20.3673931005749,250.146356074867,201.687375357161,307.471100420889,1702.30136750253,98.5267187583009,1689.79741343926,1491.55251940278,1959.18151551147,255.43,26.0202931683265,259.5,182,310,4170.79,368.665852785556,4221.5,3174,4968,1162.75,94.9716996656043,1154.5,930,1393,3008.04,335.166652954206,3017,2097,3713
